0	[0.69010055,0.77930367,0.18690586,0.42522168,0.15164232,0.017269135,0.34864378,0.5507368,0.38364732,0.6431477]
25	[0.65386087,0.85643214,0.53883904,0.4301768,0.046953037,0.237137,0.8225464,0.8693945,0.09669545,0.92924297]
30	[0.2750021,0.9259631,0.6314028,0.1508308,0.2277475,0.10902746,0.6410289,0.66485655,0.08933439,0.50707316]
40	[0.100706615,0.44785818,0.018818185,0.6439448,0.6587343,0.75773,0.5746821,0.44784576,0.111892544,0.89404434]
65	[-0.004719914,0.345127,0.457344,0.98656243,0.7347077,0.3553828,0.19993712,0.96110326,0.09244696,0.27570114]
70	[0.22770655,0.2634793,0.05739871,0.10044944,0.61664206,0.08151906,0.48886535,0.82146484,0.17124023,0.45455703]
75	[0.61021703,0.28357193,0.5188551,0.21736303,0.9330966,0.30466333,0.7765242,0.85118884,0.43817413,0.009733076]
85	[0.55002755,0.2959919,0.28583395,0.47860166,0.85812056,0.7446875,0.6829158,0.9069709,0.2314198,0.48074722]
265	[0.57481533,0.08579977,0.60993993,0.17892626,0.46594086,0.6193297,0.51957303,0.9017796,0.7330563,0.3323721]
275	[0.03644515,0.10922644,0.22560675,0.68023264,0.90439314,0.6895636,0.39163914,0.59916806,0.015669046,0.98815364]
285	[0.70418376,0.0703099,0.8076522,0.8250585,0.6108011,0.47392622,0.4231847,0.9196573,0.011458989,0.6955348]
295	[0.15872979,0.75633055,0.19147499,0.743884,0.3921738,0.12287851,0.061549325,0.8709685,0.00981737,0.7110547]
300	[0.19438063,0.19924407,0.29685846,0.88349926,0.57317513,0.6702074,0.8640239,0.2717784,0.47822273,0.056317694]
325	[0.10746326,0.720012,0.82656085,0.9312605,0.046668686,0.36271212,0.057556257,0.31033733,0.60513043,0.39222032]
355	[0.06502052,0.79874206,0.3114907,0.052968472,0.29687372,0.7591088,0.8704146,0.54124814,0.7593651,0.37869638]
370	[0.45536447,0.24302122,0.9780002,0.9719217,0.36840928,0.2939021,0.41772512,0.2193059,0.15176421,0.270806]
385	[0.104764834,0.69807327,0.024317997,0.14480135,0.7476626,0.4053695,0.94219923,0.33159497,0.09985389,0.24182238]
395	[0.0971676,0.004330439,0.20866165,0.31631333,0.34005934,0.58410007,0.47649857,0.46002066,0.9670231,0.9246756]
455	[0.61815494,0.2418689,0.6100704,0.9557079,0.03739604,0.65791565,0.6288786,0.28343898,0.23242381,0.20727028]
485	[0.8972143,0.6898922,0.4708554,0.15781781,0.7432868,0.6667962,0.5749172,0.22792442,0.48696822,0.022732278]
495	[0.38335583,0.5386572,0.80144435,0.27729,0.43042135,0.50609124,0.60965836,0.0854575,0.3505121,0.34700269]
525	[0.70871603,0.33932123,0.26549122,0.18239595,0.8417772,0.56650335,0.2485251,0.6399175,0.9818297,0.03376269]
535	[0.12172502,0.23003256,0.23679128,0.12742609,0.08687157,0.37373155,0.36753795,0.47470176,0.27451092,0.58814716]
